country,chip_10,chip_11,abs_diff,pct_diff
ESP,1.984060085929653,1.8368709437065136,-0.1471891422231395,-7.418582898116839
FIN,2.732112784104868,2.519307713173615,-0.21280507093125323,-7.789029507468716
SLV,0.7912097097197986,0.7035103031173174,-0.08769940660248121,-11.084217689080097
NLD,4.190452038211332,3.6725189485508984,-0.5179330896604339,-12.359838149621453
BRN,2.3478076057318766,2.0263464216082596,-0.321461184123617,-13.691973027892491
ZMB,1.510606472945823,1.301979468369105,-0.208627004576718,-13.810810976460067
SRB,2.2369570317068552,1.8966671686787722,-0.34028986302808306,-15.212176997804614
BLZ,0.8280907093073928,0.6890945105711079,-0.13899619873628488,-16.785141672769154
GMB,0.21947431664884956,0.17880570001778207,-0.040668616631067495,-18.530011735330156
SWZ,0.5523455889533029,0.4326779141479014,-0.11966767480540147,-21.66536262780195
